quiver,J,P_naive_0,naive_intercept_analytic,P_R_0,slope_num,A_6d,max_resid,eta_min,eta_max
quiver1,0.0,0.010132493587206005,0.0,0.010132493587206005,104.18027262716615,101.32486040645277,5.4569682106375694e-12,25.937582656645194,49.99917264120299
quiver1,1.0,0.08824212017622952,0.08765434670335583,0.010164648619901778,104.39960792768242,101.64641300302873,5.4569682106375694e-12,26.895661677050246,49.99919387091175
quiver1,3.0,0.26317048951681443,0.2629630401100675,0.010424034910064986,106.31684320426336,104.240289545835,5.4569682106375694e-12,33.17855316249405,49.999352723336365
quiver2,0.0,0.010000030642766907,0.0,0.010000030642766907,100.00090207835149,100.00030641213012,1.8189894035458565e-12,49.660136767726456,49.999987500341426
quiver2,1.0,0.23090972818738972,0.23068155717682332,0.010262630754771507,102.62664553224936,102.62630753576471,1.8189894035458565e-12,49.82298281961851,49.999993183922875
quiver2,3.0,0.6921515139340634,0.6920446715304699,0.012161245997191665,121.61039056304277,121.61246017650946,1.8189894035458565e-12,50.0000239298836,50.481399178338314
