quiver,J,eta_min,eta_max,confined,P_naive_0,P_R_0,slope_num,loglog_slope,b_fit
quiver1,0.0,25.937582656645194,49.99917264120299,True,0.010132493587206005,0.010132493587206005,104.18027262716615,1.0079463513787843,5.793930882666035
quiver1,0.5,26.181744988928802,49.99917797915772,True,0.04498520326738031,0.010140525573989262,104.23458185901318,1.0078599220527962,5.726318093144884
quiver1,1.0,26.895661677050246,49.99919387091175,True,0.08824212017622952,0.010164648619901778,104.39960792768242,1.0076061449795126,5.527611490846222
quiver1,2.0,29.50682817058273,49.99925566092207,True,0.17560946675676709,0.010261513104430098,105.08808606870755,1.0066687506314356,4.793185054905191
quiver1,3.0,33.17855316249405,49.999352723336365,True,0.26317048951681443,0.010424034910064986,106.31684320426336,1.005347110357298,3.7647979145787676
quiver1,5.0,41.44254299589013,49.999621281045876,True,0.4384093704858588,0.010948723086398209,110.64674710090148,1.002512497948692,1.6462142290524462
quiver1,8.0,50.00009044638436,51.652054944166736,True,0.7013408199871589,0.01221558528900103,121.85701913643264,0.9995775259419891,-0.23248939124031645
quiver1,12.0,50.00063508211585,59.236633002483835,True,1.0519502335891133,0.014626994203660237,143.4996381223461,0.9978883756284693,-0.8626972437055985
quiver2,0.0,49.660136767726456,49.999987500341426,True,0.010000030642766907,0.010000030642766907,100.00090207835149,1.0000017944639807,0.0013369262264114128
quiver2,0.5,49.70383068791414,49.999988977220085,True,0.1157792127393104,0.01006632169412155,100.66374615109582,1.0000015280808079,0.001114431525324471
quiver2,1.0,49.82298281961851,49.999993183922875,True,0.23090972818738972,0.010262630754771507,102.62664553224936,1.0000008577302344,0.0005833112153161995
quiver2,2.0,50.00000724404155,50.167660541741334,True,0.4614945378307481,0.011012985148003902,110.1294109234873,0.9999993139175416,-0.00032345660525122264
quiver2,3.0,50.0000239298836,50.481399178338314,True,0.6921515139340634,0.012161245997191665,121.61039056304277,0.9999982020730808,-0.0003224064747845105
quiver2,5.0,50.00005171981823,50.815879098934595,True,1.1535087990912432,0.015266283128485186,152.65414335253715,0.9999965339472743,0.0005416127502311353
quiver2,8.0,50.000074458132026,50.95314557528395,True,1.845571815446862,0.020992028840695735,209.89700756548018,0.9999947117664935,0.0010802189080019427
quiver2,12.0,50.00008700516765,50.98824124003277,True,2.7683351463779386,0.029437026327856664,294.3262072318855,0.9999935104271775,0.0011715773100932157
