quiver,P,eta0,J,eta_max_frac,P_naive_0,naive_analytic,P_R_0,slope_num,A_6d,max_resid
quiver1,5.0,3.0,0.0,0.6666666666666666,0.010119325489181506,0.0,0.010119325489181506,103.83395263937197,101.19318657175016,9.094947017729282e-13
quiver1,5.0,3.0,1.0,0.6666666666666666,0.5132869857307827,0.5131628558562719,0.01125690391122407,113.38972087273079,112.56900568133472,9.094947017729282e-13
quiver1,5.0,3.0,3.0,0.6666666666666666,1.5395949345279587,1.5394885675688157,0.018658280221685166,181.30092709064405,186.58361335602564,1.3642420526593924e-12
quiver1,20.0,10.5,0.0,0.6954929128842172,0.010126432721252361,0.0,0.010126432721252361,104.02369415220592,101.26425504519405,1.8189894035458565e-12
quiver1,20.0,10.5,1.0,0.6954929128842172,0.23363634915905698,0.2334057878390312,0.010358950782068378,105.74920617681228,103.58944801431171,1.8189894035458565e-12
quiver1,20.0,10.5,3.0,0.6954929128842172,0.7003235936615939,0.7002173635170936,0.0122084802909752,121.91339750154896,122.08481393976281,1.8189894035458565e-12
quiver1,50.0,25.5,0.0,0.6963735326906683,0.010126950485872284,0.0,0.010126950485872284,104.03726229712117,101.26943239579884,3.637978807091713e-12
quiver1,50.0,25.5,1.0,0.6963735326906683,0.13439236416645922,0.1340039552228738,0.010203279761452353,104.58122872828699,102.03272990802085,3.637978807091713e-12
quiver1,50.0,25.5,3.0,0.6963735326906683,0.40215833564338116,0.40201186566862146,0.010819037824939672,109.53556128335158,108.19033269874494,3.637978807091713e-12
quiver1,100.0,50.5,0.0,0.6946256498559554,0.010127029163442054,0.0,0.010127029163442054,104.03932084774596,101.27021908017637,3.637978807091713e-12
quiver1,100.0,50.5,1.0,0.6946256498559554,0.08801163277454063,0.08742294054034166,0.01015947731224885,104.26749953686584,101.59470268487196,3.637978807091713e-12
quiver1,100.0,50.5,3.0,0.6946256498559554,0.26247661568045766,0.262268821621025,0.010420494691533538,106.23870059242324,104.2048892570597,3.637978807091713e-12
quiver1,200.0,100.5,0.0,0.696833557962695,0.010127049286388292,0.0,0.010127049286388292,104.03984725066589,101.27042030096533,7.275957614183426e-12
quiver1,200.0,100.5,1.0,0.696833557962695,0.057759507540506815,0.056862104128126076,0.010140769718517947,104.13575439959344,101.4076255320116,7.275957614183426e-12
quiver1,200.0,100.5,3.0,0.696833557962695,0.17089467336499542,0.17058631238437824,0.01025083457419205,104.93295180017228,102.50828052562909,7.275957614183426e-12
quiver2,5.0,3.0,0.0,0.4994425863991081,0.009999999999999997,0.0,0.009999999999999997,99.99999999999991,99.99999999999994,4.547473508864641e-13
quiver2,5.0,3.0,1.0,0.4994425863991081,0.6697849747850492,0.6696768367961032,0.012035227732540977,120.3522773254097,120.35227732540974,9.094947017729282e-13
quiver2,5.0,3.0,3.0,0.4994425863991081,2.0091558456302683,2.00903051038831,0.022441487454424917,224.41487454424902,224.4148745442491,1.3642420526593924e-12
quiver2,20.0,10.5,0.0,0.5005574136008919,0.009999999999999998,0.0,0.009999999999999998,99.99999999999993,99.99999999999994,9.094947017729282e-13
quiver2,20.0,10.5,1.0,0.5005574136008919,0.416064171174965,0.4159231844054596,0.010830475960575223,108.30475960575217,108.30475960575217,1.3642420526593924e-12
quiver2,20.0,10.5,3.0,0.5005574136008919,1.2478720089895416,1.2477695532163788,0.01599039980092368,159.90399800923672,159.90399800923677,1.8189894035458565e-12
quiver2,50.0,25.5,0.0,0.5012131943078235,0.009999999999999997,0.0,0.009999999999999997,99.99999999999991,99.99999999999994,1.3642420526593924e-12
quiver2,50.0,25.5,1.0,0.5012131943078235,0.2982412499275267,0.2980586507088952,0.010434744650744487,104.3474465074448,104.34744650744484,1.8189894035458565e-12
quiver2,50.0,25.5,3.0,0.5012131943078235,0.8942765726692168,0.8941759521266857,0.013414733069881278,134.1473306988127,134.14733069881277,1.8189894035458565e-12
quiver2,100.0,50.5,0.0,0.4999172158018478,0.01,0.0,0.01,99.99999999999993,99.99999999999997,1.8189894035458565e-12
quiver2,100.0,50.5,1.0,0.4999172158018478,0.23089701662812187,0.2306688350788193,0.010262592808236227,102.62592808236221,102.62592808236225,1.8189894035458565e-12
quiver2,100.0,50.5,3.0,0.4999172158018478,0.6921133509692649,0.6920065052364579,0.012160892250528228,121.60892250528221,121.60892250528225,1.8189894035458565e-12
quiver2,200.0,100.5,0.0,0.4991597197956705,0.009999999999999997,0.0,0.009999999999999997,99.99999999999994,99.99999999999996,1.8189894035458565e-12
quiver2,200.0,100.5,1.0,0.4991597197956705,0.17848731673791896,0.17819805493221308,0.01015753191863862,101.57531918638618,101.57531918638617,2.7284841053187847e-12
quiver2,200.0,100.5,3.0,0.4991597197956705,0.5347144098738315,0.5345941647966392,0.011339272115240094,113.39272115240092,113.39272115240092,1.8189894035458565e-12
