J,z_end,delta_z,segment,confined
0.0,21.18796891024709,4.5037113949319973e-07,3,True
1.0,21.18796847417422,1.429826923526889e-08,3,True
3.0,21.187968461510795,1.634845148146269e-09,3,True
8.0,21.187968460106156,2.3020518824523606e-10,3,True
15.0,21.1879684599411,6.514966344184359e-11,3,True
