J,P_naive_0,naive_analytic,P_R_0,slope_num,A_6d,max_resid
0.0,0.01,0.0,0.01,100.00000000000003,100.0,8.526512829121202e-14
1.0,5.54576468033285,5.545478397447931,0.05634920643324238,563.4920643324238,563.4920643324236,4.547473508864641e-13
3.0,16.637269998609924,16.63643519234379,0.16666462609355795,1666.6462609355794,1666.6462609355792,1.3642420526593924e-12
