quiver,r_UV,H,delta_z,F2_at_well
minimal_P1_gamma2,-4.605170185988091,52.48246521757088,7.467908497460485e-05,21.696195251505923
minimal_P1_gamma2,-9.2,5194.257315793375,7.515193628115924e-05,21.696195251505923
